Suite id,User,Description,Production,Status,Retrieve logs,Process logs,Cycle length (days),Run length (cycles),First cycle,Final cycle,File system,First NVMe cycle,XIOS logs,First no log cycle,Cylc 8,Run,Extra diags,Extra diags cycle
u-cz422,annette,LL control-1950,True,Completed,False,False,360,450,19500101T0000Z,23990101T0000Z,Work,,False,19500101T0000Z,False,,False,
u-dh424,annette,LL hist-1950 (error),False,Abandoned,False,False,360,64,19500101T0000Z,20130101T0000Z,Work,,False,19500101T0000Z,False,,False,
u-di500,annette,LL hist-1950 #1,True,Completed,False,False,360,65,19500101T0000Z,20140101T0000Z,Work,,False,19500101T0000Z,True,1,False,
u-dm619,lrdlrh,LL hist-1950 #2,True,Completed,False,False,360,65,19500101T0000Z,20140101T0000Z,Work,,False,19500101T0000Z,True,1,False,
u-dn862,j_bilbao,LL hist-1950 #3,True,Completed,False,False,360,65,19500101T0000Z,20140101T0000Z,Work,,False,19500101T0000Z,True,1,False,
u-do025,lrdlrh,LL hist-1950 #4,True,Completed,False,False,360,65,19500101T0000Z,20140101T0000Z,Work,,False,19500101T0000Z,True,1,False,
u-dn910,lrdlrh,LL hist-1950 #5,True,Completed,False,False,360,65,19500101T0000Z,20140101T0000Z,Work,,False,19500101T0000Z,True,1,True,19500101T0000Z
u-do964,annette,LL highres-future #1,True,Completed,False,False,360,10,20150101T0000Z,20240101T0000Z,Work,,False,20150101T0000Z,True,1,False,
u-dp562,lrdlrh,LL highres-future #2,True,Completed,False,False,360,10,20150101T0000Z,20240101T0000Z,Work,,False,20150101T0000Z,True,1,False,
u-dp581,jrobson,LL highres-future #3,True,Completed,False,False,360,10,20150101T0000Z,20240101T0000Z,Work,,False,20150101T0000Z,True,2,False,
u-dp762,lrdlrh,LL highres-future #4,True,Completed,False,False,360,10,20150101T0000Z,20240101T0000Z,Work,,False,20150101T0000Z,True,1,False,
u-dp856,lrdlrh,LL highres-future #5,True,Completed,False,False,360,10,20150101T0000Z,20240101T0000Z,Work,,False,20150101T0000Z,True,1,False,
u-di516,annette,LL hist-1950-noghg #1,True,Completed,False,False,360,65,19500101T0000Z,20140101T0000Z,Work,,False,19500101T0000Z,True,1,False,
u-dn997,jrobson,LL hist-1950-noghg #2,True,Completed,False,False,360,65,19500101T0000Z,20140101T0000Z,Work,,False,19500101T0000Z,True,1,False,
u-dp388,gmadan,LL hist-1950-noghg #3,True,Running,True,True,360,65,19500101T0000Z,20140101T0000Z,Work,,False,19500101T0000Z,True,7,False,
u-do356,jrobson,LL hist-1950-noghg #4,True,Completed,False,False,360,65,19500101T0000Z,20140101T0000Z,Work,,False,19500101T0000Z,True,1,False,
u-do530,lrdlrh,LL hist-1950-noghg #5,True,Completed,False,False,360,65,19500101T0000Z,20140101T0000Z,Work,,False,19500101T0000Z,True,1,True,19500101T0000Z
u-dp359,annette,LL highres-future-noghg #1,True,Completed,False,False,360,10,20150101T0000Z,20240101T0000Z,Work,,False,20150101T0000Z,True,1,False,
u-dp563,lrdlrh,LL highres-future-noghg #2,True,Completed,False,False,360,10,20150101T0000Z,20240101T0000Z,Work,,False,20150101T0000Z,True,1,False,
u-dp933,jrobson,LL highres-future-noghg #3,True,Preparing,False,False,360,65,19500101T0000Z,20140101T0000Z,Work,,False,19500101T0000Z,True,1,False,
u-dp798,lrdlrh,LL highres-future-noghg #4,True,Completed,False,False,360,10,20150101T0000Z,20240101T0000Z,Work,,False,20150101T0000Z,True,1,False,
u-dp940,lrdlrh,LL highres-future-noghg #5,True,Completed,False,False,360,10,20150101T0000Z,20240101T0000Z,Work,,False,20150101T0000Z,True,1,False,
u-dg773,lrdlrh,LL abrupt 4xCO2 #1,True,Completed,False,False,360,50,19500101T0000Z,19990101T0000Z,Work,,False,19500101T0000Z,False,,False,
u-dh773,jrobson,LL abrupt 4xCO2 #2,True,Completed,False,False,360,50,19500101T0000Z,19990101T0000Z,Work,,False,19500101T0000Z,False,,False,
u-di233,lrdlrh,LL abrupt 4xCO2 #3,True,Completed,False,False,360,50,19500101T0000Z,19990101T0000Z,Work,,False,19500101T0000Z,False,,False,
u-dj758,jrobson,LL abrupt 4xCO2 #4,True,Completed,False,False,360,100,19500101T0000Z,20490101T0000Z,Work,,False,19500101T0000Z,False,,False,
